SAMPLE_ID,Answer
TEST_000,2022년 혁신창업사업화자금(융자)의 예산은 2300000백만원입니다.
TEST_001,창업기반지원과 개발기술사업화의 사업목적은 각각 창업을 활성화하고 고용창출을 도모하고 중소기업이 보유한 우수 기술의 보호와 개발기술의 제품화·사업화를 촉진하여 기술기반 중소기업을 육성하는 것입니다.
TEST_002,중소기업진흥에 관한 법률 제66조 제67조 제74조
TEST_003,재창업자금(실패 경영인에 대한 재기지원)
TEST_004,미래기술육성자금 고성장촉진자금
TEST_005,2015년
TEST_006,일자리창출촉진자금이 창업기반지원과 신청 대상이 중복인 자금으로 2023년에 폐지되었습니다.
TEST_007,중소벤처기업진흥공단
TEST_008,혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다.  1. 사업계획수립/공고 서류 및 현장실사 2. 사전상담 및 신청 3. 사업계획수립/공고
TEST_009,부모급여 지원 사업의 목적은 출산 및 양육으로 인해 손실되는 소득을 보전하고 주 양육자의 직접 돌봄이 중요한 아동 발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모급여 지급을 목적으로 합니다.
TEST_010,2024년 부모급여(영아수당)의 확정된 예산은 2888694백만원입니다.
TEST_011,아동수당법 제4조제5항
TEST_012,영아수당 지원사업은 2022년 1월부터 시행되었습니다.
TEST_013,부모급여 지원사업은 2022년 1월부터 시행되었습니다.
TEST_014,보건복지부의 부모급여(영아수당) 지원 사업시행방법은 지자체 보조이며 사업 수혜자는 만 0~1세 아동입니다.
TEST_015,노인장기요양보험 사업 운영의 목적은 노인이나 고령자에게 신체 또는 가사 활동 등을 제공하는 노인장기요양보험에 국고지원을 하여 효율적인 정책추진으로 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것입니다.
TEST_016,노인장기요양보험 운영지원은 노인장기요양보험 사업추진에 필요한 경비를 지원하는 사업입니다.
TEST_017,이재민 의사상자 국가유공자 입양아동 국가무형문화재보유자 북한이탈주민등
TEST_018,국민건강보험법 제5조 제6조 제8조부터 제11조까지 제69조제1항부터 제3항까지 제76조부터 제86조까지 및 제110조는 장기요양보험가입자·피부양자의 자격취득·상실 장기요양보험료 등의 납부·징수 및 결손처분 등에 관하여 이를 준용한다.
TEST_019,노인장기요양보험법은 2007년 4월에 제정되고 2008년 7월부터 시행되었습니다.
TEST_020,장기요양인정점수 완화는 2012년 7월에 이루어졌으며 3등급 인정점수는 55∼75점에서 53점∼75점으로 완화되었습니다.
TEST_021,장기요양기관 지정갱신제의 법적 근거는 2018년 12월에 마련되었다.
TEST_022,요양보호사 1명당 시설수급자 2.5명에서 2.3명으로 개선되었습니다.
TEST_023,에너지바우처 제도의 주요 내용은 경제적 부담 등으로 에너지 이용에 어려움을 겪는 에너지 소외 계층에게 전기·가스·지역난방 등 에너지 이용에 필요한 비용을 지원하는 제도입니다.
TEST_024,에너지바우처 사업의 주요 수혜자는 노인 장애인 영유아 임산부 중증·희귀‧중증난치질환자 한부모 소년소녀가정 포함 세대 연탄을 사용하는 기초생활수급자 차상위계층 기타 소외계층 등유를 사용하는 생계‧의료급여(중위소득 40%이하) 수급세대 중 한부모‧소년소녀가정세대입니다.
TEST_025,2024년 에너지바우처 사업의 사업시행주체는 한국에너지공단 한국광해광업공단입니다.
TEST_026,하절기바우처의 2024년 예산은 60950백만원이며 동절기바우처의 2024년 예산은 600521백만원입니다.
TEST_027,328백만원
TEST_028,705백만원
TEST_029,502.7백만원
TEST_030,131.7백만원
TEST_031,에너지바우처 전달체계 구축에 34.6백만원이 할당되었습니다.
TEST_032,50백만원
TEST_033,에너지바우처 사업의 향후 기대효과는 저소득층의 적정수준 에너지 접근성이 높아지고 취약계층의 에너지 비용 부담이 약 115만 세대 세대당 평균 36.7만원 내외로 감소할 것으로 기대됩니다.
TEST_034,KDI(한국개발연구원 공공투자관리센터)
TEST_035,저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것
TEST_036,수급자 변경 등으로 예산부족이 발생하지 않도록 급여 선정기준 등의 변경계획 등을 보건복지부·지자체와 면밀히 소통하여 예산을 편성하고 사업을 추진할 계획입니다.
TEST_037,취약계층의 에너지 비용 부담 완화를 위해 지속적 지원단가 현실화 추진
TEST_038,행복주택출자 사업은 주택도시기금법 제9조제1항가목과 공공주택특별법 제2조1호가목에 근거하여 추진되고 있다.
TEST_039,행복주택출자는 국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 목적으로 시행됩니다.
TEST_040,행복주택출자 사업의 주요 수혜자는 대학생 사회초년생 신혼부부 등 젊은층(80%)과 고령자 및 주거취약계층(20%)입니다.
TEST_041,행복주택출자 사업의 사업비는 2020년 1267123백만원 2021년 1105291백만원 2022년 775293백만원 2023년 684607백만원 2024년 528783백만원으로 추이하고 있습니다.
TEST_042,한국토지주택공사(LH) 지자체(지방공사)
TEST_043,국고보조사업의 보조율은 「보조금법」과 함께 일부 개별 법령에 근거하여 운영되며 보조금법에 의해 지방자치단체의 재정여건을 고려하여 기준보조율과 차등보조율을 적용하여 운용되고 있습니다.
TEST_044,수평적 형평교부금의 역할을 강조하기 시작함
TEST_045,지방재정조정제도의 목적은 재정의 재배분 목적을 충족하여 지방자치단체의 기본적인 수요에 대한 지출을 촉진하는 중요한 기능을 수행하는 것입니다.
TEST_046,2000년대 후반 금융위기로 성과중심 재정관리 강화 움직임이 국제적으로 확산됨에 따라 2007년 기준 70% 이상의 OECD 국가에서 예결산 문서에 비재무적 성과정보를 포함하고 있다.
TEST_047,성과관리 기본계획과 추진계획은 2021년 12월 개정된 '국가재정법'에 의해 의무화되었다.
TEST_048,핵심재정사업 성과관리제도를 안착시키기 위해 필요한 노력과 성과 정보를 학습의 도구로 활용하는 방안은 다음과 같습니다.  1.  성과정보를 사용해 목표 진행 상황을 정기적으로 평가·공개하고 지속적 개선에 대한 약속 공유함으로써 핵심재정사업 성과관리제도를 안착시켜 나갈 수 있습니다. 2.  작업반 간 모범사례 등의 공유를 위한 교훈 저장소 생성 등으로 성과정보가 사업추진기관에 의해 학습의 도구로서 유용하게 쓰이게끔 하고 성과중심의 조직문화를 형성해 가는 것이 필요합니다. 3.  성공사례와 목표 결과를 공유할 수 있는 다양하고 효과적인 커뮤니케이션 전략을 개발해 범부처 차원의 우선순위 목표에 대한 국민적 관심과 열린 대화를 형성하는 것이 필요합니다.
TEST_049,사회보험 사각지대는 4대 사회보험의 제도적 틀이 갖추어져 있음에도 불구하고 발생하고 이로 인해 발생하는 문제는 사회보험 가입이 저조하여 고용 취약계층 및 소규모 사업장일수록 사회보험 가입이 특히 중요하고 저임금 근로자 등 고용 취약계층은 잦은 이직 영세사업장의 빈번한 신생·소멸 등으로 소득단절 위험이 높아 사회보험 가입이 특히 중요합니다.
TEST_050,청년일자리도약장려금은 우선지원대상기업에서 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원됩니다.
TEST_051,수직적 재정조정제도는 중앙정부와 지방자치단체 간의 재정불균형을 해소하기 위해 중앙-지방 간 또는 광역-기초 간에 지방교부세 국고보조금 조정교부금을 재원으로 사용하는 것을 말하며 수평적 재정조정제도는 동일 수준의 지방정부 간 재정불균형을 해소하기 위해 재정력이 강한 지방자치단체가 재정력이 약한 지방자치단체에 지원하는 상호 간의 재원(지역상생발전기금 재산공동과세)을 재배분하는 방식을 말합니다.
TEST_052,지방재정조정제도는 자체 재원만으로 지출책임성을 충족하지 못하는 지방자치단체에 필요한 일종의 제도적 장치에 해당하며 지방정부의 부족한 재원을 보충하여 중앙-지방 간 수직적 불균형 완화 또는 재정력 격차 완화를 통해 국가 재정의 재배분 목적을 충족하여 지방자치단체의 기본적인 수요에 대한 지출을 촉진하는 중요한 기능을 수행합니다.
TEST_053,지방교부세 국고보조금 조정교부금(자치구 조정교부금 시·군 조정교부금)을 통해 수직적 재정 불균형을 해소한다.
TEST_054,중앙정부의 예산편성은 결국 민간과 공공 부문 사이의 재원 배분 문제이며 중앙과 지방 사이의 재원 배분 문제이다. 중앙정부가 지방자치단체에 얼마의 재원을 어떤 기준에 의해 배분할 것인가에 대한 답은 지방재정조정으로 결정된다.
TEST_055,1990년대 이후 체계적인 성과관리제도 도입에 대한 필요성이 대두되면서 미국 캐나다 영국 등 주요국 위주로 재정사업 성과관리의 실효성 제고를 위한 제도 도입 등 노력이 시작되었습니다.
TEST_056,청년일자리도약장려금은 우선지원대상기업에서 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원됩니다.
TEST_057,재정성과관리제도는 전략목표와 우선순위를 중심으로 재정사업을 재구조화한다는 점에서 국정운영과 연결되고 지출 우선순위 측면에서 재정을 중장기 시계로 확장시켜 줌
TEST_058,성과관리의 실효성 강화를 위해 정부는 성과관리를 위한 별도의 장을 신설하고 성과관리 규정을 정비하였으며 성과관리 결과를 재정 운용에 반영하고 국민에게 알기 쉽게 홍보할 수 있도록 공개하기 위한 지속적인 조치를 취하고 있다.
TEST_059,재정성과관리 관련 주요 쟁점은 "국가재정법"상의 재정사업 평가인 재정사업 자율평가의 대상 범위 효과 개편 등이 지속적으로 논의되어야 하며 개별 법령에 따라 실시되는 평가 대상 간 중복 최소화 노력이 필요합니다.
TEST_060,재정성과관리가 중요함은 재정성과관리가 재정을 결과 또는 산출 지향적으로 운영하는 것으로 산출의 우선순위를 명확하게 하는 한편 국민에게 재정이 하는 일을 보다 알기 쉽게 설명할 수 있기 때문입니다.
TEST_061,성과관리는 단순 예산·결산 중심에서 벗어나 재정을 결과 또는 산출 지향적으로 운영하는 것으로 산출의 우선순위를 명확하게 하는 한편 국민에게 재정이 하는 일을 보다 알기 쉽게 설명할 수 있기에 중요하다.
TEST_062,OECD World Bank 등은 2000년대부터 사업을 기준으로 예산을 나누어 성과 정보를 생산하고 있다.
TEST_063,성과관리의 목적은 정부 재정의 투명성·책임성 효율성·효과성 예산재분배 등이 있다.
TEST_064,2021년 「국가재정법」 개정으로 동 법에 의한 재정사업 평가와 개별 법령에 따라 실시되는 평가 대상 중복이 최소화되도록 하는 규정을 신설하여 재정성과관리를 위한 재정사업 평가와 개별 법령에 따라 실시되는 평가 간의 관계를 최초로 규정했습니다.
TEST_065,성과관리제도는 지출 구조조정을 위해 2018년부터 전년대비 변화가 미흡 등급 배분기준 지출 구조조정 기준을 도입하여 강력한 지출 구조조정 방향을 제시하고 있다.
TEST_066,재정사업 자율평가는 재정관리 합리성 제고를 위해 그동안 평가 대상 사업의 범위 평가 주기 상위 평가 방식 등에서 지속적인 제도 개선이 이루어졌습니다.
TEST_067,2016년 재정성과관리제도의 환류 개선사항은 평가 대상 사업 전체 예산의 1% 이내에서 부처에서 자율적으로 세출구조조정을 마련하도록 하고 우수 등급 사업도 지출구조조정이 가능하게 하는 한편 구조조정이 어려운 사업에 대해서는 성과관리 개선대책을 제출하게 함으로써 환류를 수행하였다.
TEST_068,2018년도에 재정성과관리제도 개선으로 인해 성과관리체계 단순화 예산과 성과관리의 기계적 연동 폐지 합리적 재정사업 구조조정 등으로 성과관리 실효성 제고 부처 자율성 강화 재정당국의 성과관리 전략성 강화에 기여 결과지향적이며 국민이 체감할 수 있도록 성과를 중심으로 재정을 운영하고 달성 노력과 결과를 공개함으로써 투명성을 제고하는 효과가 발생했습니다.
TEST_069,성과관리 사각지대 해소 사업성과평가의 예산편성 활용 확대를 위한 중점 추진과제를 제시하고 평가부담 완화를 위한 개선과 함께 지출구조조정을 강화하는 등 사업성과평가 개편을 추진하고 핵심사업평가를 위한 핵심 재정사업군을 선별하여 5년간 전주기 관리하고 사업별 성과정보 DB 구축 온라인 재정정보 공개의 사용자 친화성 개선 재정성과포럼 운영 등을 통해 성과관리 인프라를 확충하고자 함
TEST_070,재정성과관리제도는 재정을 프로그램 단위로 구분하고 사전 목표와 사후 평가 결과를 중심으로 관리하는 것을 의미하며 재정성과관리제도는 재정수지 국가채무 등 재정 전체에 대한 총량 관리에서는 보지 못하는 미시적인 부분까지 재정을 관리하는 것으로 총량 관리와 보완적인 관계임.
TEST_071,정부는 110대 국정과제 중 재정 정상화 및 재정의 지속 가능성 확보를 위해 재정성과관리체계 강화를 제시했으며 재정성과관리는 재정을 결과 또는 산출 지향적으로 운영하는 것으로 산출의 우선순위를 명확하게 하는 한편 국민에게 재정이 하는 일을 보다 알기 쉽게 설명할 수 있기에 중요하다.
TEST_072,재정성과관리는 예산의 편성에서 집행 결산에 이르는 전 과정에서 수행되며 성과 정보를 바탕으로 한 재정 운영 노력은 미국에서 시작되었으며 OECD World Bank 등은 2000년대부터 사업을 기준으로 예산을 나누어 성과 정보를 생산할 것을 강조하기 시작했습니다. 성과관리의 목적은 정부 재정의 투명성·책임성 효율성·효과성 예산재분배 등이 있습니다.
TEST_073,2006년
TEST_074,2007년과 2021년에 각각 「국가재정법」이 개정되면서 성과관리 제도는 성과목표관리 및 성과평가로 구체화되며 성과지향적이고 투명한 재정운용을 위해 성과관리의 내용을 성과목표관리 및 성과평가로 구체화하고 성과보고서 작성 및 성과평가 근거 마련 성과목표 관리를 위한 추진체계 마련 성과정보관리시스템 구축·운영 성과목표 관리 결과를 국무회의에 보고하여 성과 중심 재정운용 확대 및 강화하는 것을 목적으로 하였다.
TEST_075,재정사업 자율평가는 재정관리 합리성 제고를 위해 그동안 평가 대상 사업의 범위 평가 주기 상위 평가 방식 등에서 지속적인 제도 개선이 이루어졌습니다.
TEST_076,2015년 이전에는 평가 결과 미흡 등급 비율을 강제 배정하고 해당 단위사업에 대한 일률적 삭감을 실시하였으나 2016년부터는 평가 결과 미흡 등급 비율을 부처에서 자율적으로 결정하고 우수 등급 사업도 지출구조조정이 가능하게 하며 구조조정이 어려운 사업에 대해서는 성과관리 개선대책을 제출하게 함으로써 환류를 개선하였다.
TEST_077,재정관리시스템 구축과 성과관리 개편을 추진하는 주된 목적은 성과 중심의 재정운용을 위한 제도를 성문화하고 제반 인프라를 제공하여 공개를 통한 투명성 확보 및 책임성 향상에 기여하는 것입니다.
TEST_078,우리는 2011년부터 발생주의 기준을 적용한 국가결산보고서에서 우발부채를 보고하고 있다.
TEST_079,우발부채 개념 및 용어 사용의 혼란 우발부채 분류기준 재검토 새로운 분류기준 정립
TEST_080,우발부채의 관리는 지속가능한 재정운영 차원에서 중요한 이슈로 여겨지며 이는 미래의 다양한 의제의무를 포함하고 있기 때문입니다.
TEST_081,우발부채는 미래에 특정 사건(들)이 일어나지 않는 한 발생하지 않는 의무로 하나 또는 그 이상의 조건이 충족되어야 금융거래로 인식된다는 점에서 ‘부채’와 차이 있습니다.
TEST_082,발생주의는 '경제적 거래가 발생하는 시점'에 거래를 기록하는 방식으로 현금주의(cash basis)와 차이가 있다.
TEST_083,채무지속가능성분석은 잠재적 재정위기 감지 예방 해결을 위한 IMF의 노력으로 2002년에 도입되었다.
TEST_084,의제의무란 발표된 정부방침 또는 구체적이고 유효한 약속이나 과거의 실무관행 등을 통해 중앙관서 또는 기금이 특정 책임을 부담한다는 것을 표명함으로써 상대방이 그 책임을 이행할 것이라는 정당한 기대를 가지게 되는 경우 발생하는 의무를 말한다.
TEST_085,국제통화기금(IMF)은 재정통계 작성의 국제기준을 제시하기 위해 1986년 재정통계 매뉴얼(Government Finance Statistics Manual GFSM)을 처음 발간하였으며 이후 2001년과 2014년에 총 2차례의 개정을 하였다.
TEST_086,계류중인 소송사건은 정부가 원고인 경우와 피고인 경우 각각을 주석으로 공시하며 다만 자원의 유출가 능성이 매우 높은 경우(정부가 피고로 2심 패소 등)에는 소송충당부채로 공시합니다.
TEST_087,최소운영수입보장(BTO 등) 제도란 주로 BTO 민간투자사업 중 실시협약서 상 추정 수입보다 실제 수입이 미치지 못하는 경우 정부가 최소운영수입을 보장해 주는 제도를 말합니다.
TEST_088,장기임차토지의 원상회복의무 공공금융비용 공공손실부담 등이 우발부채에 해당된다.
TEST_089,GFSM2014에서는 우발부채를 명시적 우발부채와 암묵적 우발부채로 구분합니다.
TEST_090,GFSM은 1986년 첫 발간 이래 현재까지 총 2차례(2001년 2014년)의 개정이 있었다. 특히 GFSM 2001은 전면 개정을 통해 현재의 발생주의 기준 GFS체계를 구축하였으며 GFSM2014는 SNA PSDS 등 다른 국제통계기준과 부합하도록 더 구체화했다.
TEST_091,표준화 보증은 통상 아주 적은 금액에 대해 획일적 조건으로 대규모로 발행하는 보증을 말하며 수출(무역)신용 보증 환보증 다양한 종류의 보험(예금 농작물 자연재해 등) 농민융자 모기지론 학자금융자 중소기업융자 등이 있다. 주로 유사한 특징을 지니고 위험 분산을 목적으로 하는 보증들이 많으며 보증인은 확률통계에 기반하여 평균손실(채무불이행률)을 추정할 수 있는데 이러한 채무불이행률로 인해 공공부문의 우발부채가 아니라 표준화 보증 충당부채로 인식한다.
TEST_092,공공부문의 우발부채는 표준화 보증에서 우발부채가 아니라 표준화 보증 충당부채로 인식된다.
TEST_093,공적보증채무는 보증인이 기타 공공부문과 민간부문 단위 기존 채무의 원리금 상환을 보증한다는 점에서 다른 일회성 보증과는 구분되며 재정정책 및 분석에서 중요합니다.
TEST_094,미래사회보장급여에 대한 순의무는 계약상의 부채는 아니며 미래 발생 비용으로 여겨지는 사회보장급여를 의미합니다.
TEST_095,국가결산보고서와 지방자치단체 회계기준에서 우발부채에 대한 용어 및 회계처리가 상이합니다.
TEST_096,우발부채는 미래 발생이 불확실한 잠재적 의무 또는 부채 인식기준을 충족하지 못한 현재의무를 의미하며 우발부채 관리가 중요하여 재정건전성 재정위기 관리 등 다양한 관점에서 다뤄져야 할 필요가 있다.
TEST_097,보증은 명시적 우발부채의 가장 보편적 형태이나 모든 보증이 우발부채에 해당하는 것은 아니다. 예를 들어 파생금융상품 형태의 보증이나 표준화된 보증 제도하에서 설정하는 충당부채 형태의 보증은 재정상태표에 부채로 기록된다. 표준화 보증은 통상 아주 적은 금액에 대해 획일적 조건으로 대규모로 발행하는 보증을 말하며 수출(무역)신용 보증 환보증 다양한 종류의 보험(예금 농작물 자연재해 등) 농민융자 모기지론 학자금융자 중소기업융자 등이 있다. 주로 유사한 특징을 지니고 위험 분산을 목적으로 하는 보증들이 있으며 보증인은 확률통계에 기반하여 평균손실(채무불이행률)을 추정할 수 있다.
